과목번호 , 분반 , 년도 , 학기 , 캠퍼스 , 대학 , 개설학과 , 과목명 , 담당교수 , 학점 , 이수구분 , 이론/실습 , 비고
50646,1,2019,1, 서울 , 창의ICT공과대학  ,  융합교양학부 , ICT와 경영 , 한진영  ,2, 교양 , 이론 , MACH
53099,1,2019,1, 서울 , 창의ICT공과대학 , 융합교양학부 , VR로 구현하는 공감 , 이현정 ,1, 교양 , 실습 , MACH
53099,2,2019,1, 서울 , 창의ICT공과대학 , 융합교양학부 , VR로 구현하는 공감 , 이현정 ,1, 교양 , 실습 , MACH
51240,1,2019,1, 서울 , 창의ICT공과대학 , 융합교양학부 , 게임아트와 내러티브 , 이민하 ,1, 교양 , 실습 , MACH
52817,1,2019,1, 서울 , 창의ICT공과대학 , 융합교양학부 , 경영의사결정 실습 , 한진영 ,1, 교양 , 이론 , MACH
53096,1,2019,1, 서울 , 창의ICT공과대학 , 융합교양학부 , 공감의 심리학 , 이현정 ,2, 교양 , 이론 , MACH
51888,1,2019,1, 서울 , 창의ICT공과대학 , 융합교양학부 , 디자인과 감성적사고 , 이민하 ,2, 교양 , 이론 , MACH
50390,1,2019,1, 서울 , 창의ICT공과대학 , 융합교양학부 , 스토리텔링 콘텐츠 제작 실습 , 전종운 ,1, 교양 , 실습 , MACH
50389,1,2019,1, 서울 , 창의ICT공과대학 , 융합교양학부 , 스토리텔링의 이해 , 전종운 ,2, 교양 , 이론 , MACH
50642,1,2019,1, 서울 , 창의ICT공과대학 , 융합교양학부 , 이미지인문학 , 김휘택 ,2, 교양 , 이론 , MACH
42301,9,2019,1, 서울 , 대학(전체) , null , 한국사 , 김인식 ,2, 교양 , 이론 , 공통교양
42301,10,2019,1, 서울 , 대학(전체)   , null , 한국사 , 한미라 ,2, 교양 , 이론 , 공통교양
42301,16,2019,1, 서울 , 대학(전체)   , null , 한국사 , 송화섭 ,2, 교양 , 이론 , 공통교양
42301,18,2019,1, 서울 , 대학(전체)   , null , 한국사 , 이선희 ,2, 교양 , 이론 , 공통교양
