"course_no","class_no","year","semester","campus","college","dept","title","inst_name","credit","course_class","course_type","abeek_type"
"50023","62","2019","1","서울","대학(전체)  ","","COMMUNICATION IN ENGLISH","빌리스트러블","2","교양","이론","공통교양"
"42183","9","2019","1","서울","대학(전체)  ","","글쓰기","김미선","2","교양","이론","공통교양 / 전문교양"
"49949","50","2019","1","서울","대학(전체)  ","","창의와소통","김선규","2","교양","이론","공통교양"
"50646","1","2019","1","서울","창의ICT공과대학 "," 융합교양학부","ICT와 경영","한진영 ","2","교양","이론","MACH"
"53099","1","2019","1"," 서울 "," 창의ICT공과대학 "," 융합교양학부 "," VR로 구현하는 공감 "," 이현정 ","1"," 교양 "," 실습 "," MACH"
"51240","1","2019","1"," 서울 "," 창의ICT공과대학 "," 융합교양학부 "," 게임아트와 내러티브 "," 이민하 ","1"," 교양 "," 실습 "," MACH"
"52817","1","2019","1"," 서울 "," 창의ICT공과대학 "," 융합교양학부 "," 경영의사결정 실습 "," 한진영 ","1"," 교양 "," 이론 "," MACH"
"53096","1","2019","1"," 서울 "," 창의ICT공과대학 "," 융합교양학부 "," 공감의 심리학 "," 이현정 ","2"," 교양 "," 이론 "," MACH"
"51888","1","2019","1"," 서울 "," 창의ICT공과대학 "," 융합교양학부 "," 디자인과 감성적사고 "," 이민하 ","2"," 교양 "," 이론 "," MACH"
"50390","1","2019","1"," 서울 "," 창의ICT공과대학 "," 융합교양학부 "," 스토리텔링 콘텐츠 제작 실습 "," 전종운 ","1"," 교양 "," 실습 "," MACH"
"50389","1","2019","1"," 서울 "," 창의ICT공과대학 "," 융합교양학부 "," 스토리텔링의 이해 "," 전종운 ","2"," 교양 "," 이론 "," MACH"
"50642","1","2019","1"," 서울 "," 창의ICT공과대학 "," 융합교양학부 "," 이미지인문학 "," 김휘택 ","2"," 교양 "," 이론 "," MACH"
"42301","9","2019","1"," 서울 "," 대학(전체) ",""," 한국사 "," 김인식 ","2"," 교양 "," 이론 "," 공통교양/전문교양"
"53483","1","2019","1"," 서울 "," 소프트웨어대학 "," 소프트웨어학부 "," CAU세미나 "," 김무철 ","1"," 자유선택 "," 이론 ",""
